nu,gamma,false_positive_rates,true_positive_rates
0.0001,0.0001,0.0,inf
0.0001,0.1112,0.0,inf
0.0001,0.2223,0.0,inf
0.0001,0.3334,0.0,inf
0.0001,0.4445,0.0,inf
0.0001,0.5556,0.0,inf
0.0001,0.6667,0.0,inf
0.0001,0.7778,0.0,inf
0.0001,0.8889,0.0,inf
0.0001,1.0,0.0,inf
0.1112,0.0001,0.894736842105,1.0
0.1112,0.1112,0.286549707602,1.0
0.1112,0.2223,0.0175438596491,1.0
0.1112,0.3334,0.0,inf
0.1112,0.4445,0.0,inf
0.1112,0.5556,0.0,inf
0.1112,0.6667,0.0,inf
0.1112,0.7778,0.0,inf
0.1112,0.8889,0.0,inf
0.1112,1.0,0.0,inf
0.2223,0.0001,0.771929824561,1.0
0.2223,0.1112,0.286549707602,1.0
0.2223,0.2223,0.0175438596491,1.0
0.2223,0.3334,0.0,inf
0.2223,0.4445,0.0,inf
0.2223,0.5556,0.0,inf
0.2223,0.6667,0.0,inf
0.2223,0.7778,0.0,inf
0.2223,0.8889,0.0,inf
0.2223,1.0,0.0,inf
0.3334,0.0001,0.736842105263,1.0
0.3334,0.1112,0.286549707602,1.0
0.3334,0.2223,0.0175438596491,1.0
0.3334,0.3334,0.0,inf
0.3334,0.4445,0.0,inf
0.3334,0.5556,0.0,inf
0.3334,0.6667,0.0,inf
0.3334,0.7778,0.0,inf
0.3334,0.8889,0.0,inf
0.3334,1.0,0.0,inf
0.4445,0.0001,0.59649122807,1.0
0.4445,0.1112,0.286549707602,1.0
0.4445,0.2223,0.0175438596491,1.0
0.4445,0.3334,0.0,inf
0.4445,0.4445,0.0,inf
0.4445,0.5556,0.0,inf
0.4445,0.6667,0.0,inf
0.4445,0.7778,0.0,inf
0.4445,0.8889,0.0,inf
0.4445,1.0,0.0,inf
0.5556,0.0001,0.473684210526,1.0
0.5556,0.1112,0.27485380117,1.0
0.5556,0.2223,0.0175438596491,1.0
0.5556,0.3334,0.0,inf
0.5556,0.4445,0.0,inf
0.5556,0.5556,0.0,inf
0.5556,0.6667,0.0,inf
0.5556,0.7778,0.0,inf
0.5556,0.8889,0.0,inf
0.5556,1.0,0.0,inf
0.6667,0.0001,0.362573099415,1.0
0.6667,0.1112,0.245614035088,1.0
0.6667,0.2223,0.0175438596491,1.0
0.6667,0.3334,0.0,inf
0.6667,0.4445,0.0,inf
0.6667,0.5556,0.0,inf
0.6667,0.6667,0.0,inf
0.6667,0.7778,0.0,inf
0.6667,0.8889,0.0,inf
0.6667,1.0,0.0,inf
0.7778,0.0001,0.25730994152,1.0
0.7778,0.1112,0.146198830409,1.0
0.7778,0.2223,0.0175438596491,1.0
0.7778,0.3334,0.0,inf
0.7778,0.4445,0.0,inf
0.7778,0.5556,0.0,inf
0.7778,0.6667,0.0,inf
0.7778,0.7778,0.0,inf
0.7778,0.8889,0.0,inf
0.7778,1.0,0.0,inf
0.8889,0.0001,0.140350877193,1.0
0.8889,0.1112,0.0877192982456,1.0
0.8889,0.2223,0.0175438596491,1.0
0.8889,0.3334,0.0,inf
0.8889,0.4445,0.0,inf
0.8889,0.5556,0.0,inf
0.8889,0.6667,0.0,inf
0.8889,0.7778,0.0,inf
0.8889,0.8889,0.0,inf
0.8889,1.0,0.0,inf
1.0,0.0001,0.0,inf
1.0,0.1112,0.0,inf
1.0,0.2223,0.0,inf
1.0,0.3334,0.0,inf
1.0,0.4445,0.0,inf
1.0,0.5556,0.0,inf
1.0,0.6667,0.0,inf
1.0,0.7778,0.0,inf
1.0,0.8889,0.0,inf
1.0,1.0,0.0,inf
